cycle,crack_len_mm
0,1.0
1,1.0002000400073345
2,1.0004001200306738
3,1.0006002400780223
4,1.0008004001573865
5,1.0010006002767744
6,1.0012008404441957
7,1.0014011206676616
8,1.0016014409551848
9,1.0018018013147798
10,1.0020022017544625
11,1.002202642282251
12,1.0024031229061638
13,1.002603643634222
14,1.0028042044744485
15,1.0030048054348666
16,1.0032054465235025
17,1.0034061277483832
18,1.0036068491175376
19,1.0038076106389962
20,1.0040084123207909
21,1.0042092541709555
22,1.0044101361975253
23,1.0046110584085373
24,1.0048120208120297
25,1.0050130234160428
26,1.0052140662286184
27,1.0054151492577996
28,1.0056162725116313
29,1.0058174359981604
30,1.0060186397254347
31,1.0062198837015042
32,1.00642116793442
33,1.0066224924322353
34,1.0068238572030046
35,1.0070252622547842
36,1.0072267075956318
37,1.0074281932336069
38,1.0076297191767702
39,1.007831285433185
40,1.0080328920109152
41,1.0082345389180265
42,1.0084362261625865
43,1.0086379537526646
44,1.0088397216963314
45,1.0090415300016589
46,1.0092433786767214
47,1.0094452677295942
48,1.0096471971683547
49,1.0098491670010816
50,1.0100511772358554
51,1.0102532278807579
52,1.010455318943873
53,1.010657450433286
54,1.0108596223570834
55,1.0110618347233538
56,1.0112640875401877
57,1.0114663808156763
58,1.0116687145579135
59,1.0118710887749938
60,1.0120735034750141
61,1.0122759586660723
62,1.0124784543562686
63,1.0126809905537042
64,1.012883567266482
65,1.0130861845027073
66,1.0132888422704858
67,1.0134915405779255
68,1.0136942794331363
69,1.013897058844229
70,1.014099878819317
71,1.0143027393665138
72,1.0145056404939363
73,1.0147085822097017
74,1.0149115645219293
75,1.0151145874387404
76,1.015317650968257
77,1.0155207551186036
78,1.0157238998979061
79,1.0159270853142914
80,1.0161303113758893
81,1.0163335780908298
82,1.0165368854672454
83,1.0167402335132703
84,1.0169436222370396
85,1.0171470516466907
86,1.0173505217503624
87,1.0175540325561954
88,1.0177575840723312
89,1.0179611763069139
90,1.0181648092680886
91,1.0183684829640025
92,1.018572197402804
93,1.0187759525926432
94,1.0189797485416723
95,1.0191835852580442
96,1.0193874627499147
97,1.0195913810254398
98,1.0197953400927784
99,1.0199993399600904
100,1.0202033806355373
101,1.0204074621272825
102,1.0206115844434906
103,1.0208157475923285
104,1.0210199515819642
105,1.0212241964205675
106,1.0214284821163098
107,1.021632808677364
108,1.0218371761119052
109,1.0220415844281092
110,1.0222460336341546
111,1.0224505237382204
112,1.0226550547484883
113,1.022859626673141
114,1.0230642395203629
