time_days,depth_mm
0,0.0
1,0.0006851192107426692
2,0.0013702384214853384
3,0.0020553576322280076
4,0.0027404768429706767
5,0.0034255960537133458
6,0.004110715264456015
7,0.004795834475198684
8,0.005480953685941353
9,0.006166072896684023
10,0.0068511921074266915
11,0.007536311318169361
12,0.00822143052891203
13,0.0089065497396547
14,0.009591668950397368
15,0.010276788161140037
16,0.010961907371882707
17,0.011647026582625376
18,0.012332145793368046
19,0.013017265004110714
20,0.013702384214853383
21,0.014387503425596053
22,0.015072622636338722
23,0.01575774184708139
24,0.01644286105782406
25,0.01712798026856673
26,0.0178130994793094
27,0.018498218690052068
28,0.019183337900794736
29,0.019868457111537407
30,0.020553576322280075
31,0.021238695533022746
32,0.021923814743765414
33,0.02260893395450808
34,0.023294053165250753
35,0.02397917237599342
36,0.02466429158673609
37,0.02534941079747876
38,0.026034530008221427
39,0.0267196492189641
40,0.027404768429706766
41,0.028089887640449437
42,0.028775006851192105
43,0.029460126061934773
44,0.030145245272677444
45,0.030830364483420112
46,0.03151548369416278
47,0.03220060290490545
48,0.03288572211564812
49,0.033570841326390786
50,0.03425596053713346
51,0.03494107974787613
52,0.0356261989586188
53,0.036311318169361465
54,0.036996437380104136
55,0.03768155659084681
56,0.03836667580158947
57,0.03905179501233214
58,0.039736914223074814
59,0.04042203343381748
60,0.04110715264456015
61,0.04179227185530282
62,0.04247739106604549
63,0.043162510276788156
64,0.04384762948753083
65,0.0445327486982735
66,0.04521786790901616
67,0.045902987119758834
68,0.046588106330501505
69,0.047273225541244177
70,0.04795834475198684
71,0.04864346396272951
72,0.04932858317347218
73,0.05001370238421485
74,0.05069882159495752
75,0.05138394080570019
76,0.052069060016442854
77,0.052754179227185526
78,0.0534392984379282
79,0.05412441764867087
80,0.05480953685941353
81,0.055494656070156204
82,0.056179775280898875
83,0.05686489449164154
84,0.05755001370238421
85,0.05823513291312688
86,0.058920252123869546
87,0.05960537133461222
88,0.06029049054535489
89,0.06097560975609756
90,0.061660728966840224
91,0.062345848177582895
92,0.06303096738832556
93,0.06371608659906823
94,0.0644012058098109
95,0.06508632502055357
96,0.06577144423129624
97,0.06645656344203892
98,0.06714168265278157
99,0.06782680186352424
100,0.06851192107426692
101,0.06919704028500959
102,0.06988215949575226
103,0.07056727870649493
104,0.0712523979172376
105,0.07193751712798026
106,0.07262263633872293
107,0.0733077555494656
108,0.07399287476020827
109,0.07467799397095094
110,0.07536311318169361
111,0.07604823239243629
112,0.07673335160317894
113,0.07741847081392161
114,0.07810359002466429
115,0.07878870923540696
116,0.07947382844614963
117,0.0801589476568923
118,0.08084406686763496
119,0.08152918607837763
120,0.0822143052891203
121,0.08289942449986297
122,0.08358454371060564
123,0.08426966292134831
124,0.08495478213209098
125,0.08563990134283364
126,0.08632502055357631
127,0.08701013976431898
128,0.08769525897506165
129,0.08838037818580433
130,0.089065497396547
131,0.08975061660728967
132,0.09043573581803233
133,0.091120855028775
134,0.09180597423951767
135,0.09249109345026034
136,0.09317621266100301
137,0.09386133187174568
138,0.09454645108248835
139,0.09523157029323101
140,0.09591668950397368
141,0.09660180871471635
142,0.09728692792545902
143,0.0979720471362017
144,0.09865716634694437
145,0.09934228555768702
146,0.1000274047684297
147,0.10071252397917237
148,0.10139764318991504
149,0.10208276240065771
150,0.10276788161140038
151,0.10345300082214305
152,0.10413812003288571
153,0.10482323924362838
154,0.10550835845437105
155,0.10619347766511372
156,0.1068785968758564
157,0.10756371608659906
158,0.10824883529734174
159,0.1089339545080844
160,0.10961907371882706
161,0.11030419292956974
162,0.11098931214031241
163,0.11167443135105508
164,0.11235955056179775
165,0.11304466977254042
166,0.11372978898328308
167,0.11441490819402575
168,0.11510002740476842
169,0.11578514661551109
170,0.11647026582625376
171,0.11715538503699643
172,0.11784050424773909
173,0.11852562345848176
174,0.11921074266922443
175,0.1198958618799671
176,0.12058098109070978
177,0.12126610030145245
178,0.12195121951219512
179,0.12263633872293778
180,0.12332145793368045
181,0.12400657714442312
182,0.12469169635516579
183,0.12537681556590846
184,0.12606193477665112
185,0.1267470539873938
186,0.12743217319813646
187,0.12811729240887915
188,0.1288024116196218
189,0.12948753083036446
190,0.13017265004110715
191,0.1308577692518498
192,0.1315428884625925
193,0.13222800767333515
194,0.13291312688407783
195,0.1335982460948205
196,0.13428336530556315
197,0.13496848451630583
198,0.1356536037270485
199,0.13633872293779117
200,0.13702384214853383
201,0.13770896135927652
202,0.13839408057001917
203,0.13907919978076183
204,0.13976431899150452
205,0.14044943820224717
206,0.14113455741298986
207,0.14181967662373252
208,0.1425047958344752
209,0.14318991504521786
210,0.14387503425596052
211,0.1445601534667032
212,0.14524527267744586
213,0.14593039188818854
214,0.1466155110989312
215,0.14730063030967389
216,0.14798574952041654
217,0.1486708687311592
218,0.14935598794190189
219,0.15004110715264454
220,0.15072622636338723
221,0.15141134557412989
222,0.15209646478487257
223,0.15278158399561523
224,0.15346670320635789
225,0.15415182241710057
226,0.15483694162784323
227,0.1555220608385859
228,0.15620718004932857
229,0.15689229926007126
230,0.1575774184708139
231,0.15826253768155657
232,0.15894765689229925
233,0.1596327761030419
234,0.1603178953137846
235,0.16100301452452725
236,0.1616881337352699
237,0.1623732529460126
238,0.16305837215675525
239,0.16374349136749794
240,0.1644286105782406
241,0.16511372978898328
242,0.16579884899972594
243,0.1664839682104686
244,0.16716908742121128
245,0.16785420663195394
246,0.16853932584269662
247,0.16922444505343928
