time_days,leak_rate_lph
0,0.0
1,0.050505050505050504
2,0.10101010101010101
3,0.15151515151515152
4,0.20202020202020202
5,0.25252525252525254
6,0.30303030303030304
7,0.35353535353535354
8,0.40404040404040403
9,0.45454545454545453
10,0.5050505050505051
11,0.5555555555555556
12,0.6060606060606061
13,0.6565656565656566
14,0.7070707070707071
15,0.7575757575757576
16,0.8080808080808081
17,0.8585858585858586
18,0.9090909090909091
19,0.9595959595959596
20,1.0101010101010102
21,1.0606060606060606
22,1.1111111111111112
23,1.1616161616161615
24,1.2121212121212122
25,1.2626262626262625
26,1.3131313131313131
27,1.3636363636363635
28,1.4141414141414141
29,1.4646464646464645
30,1.5151515151515151
31,1.5656565656565655
32,1.6161616161616161
33,1.6666666666666667
34,1.7171717171717171
35,1.7676767676767677
36,1.8181818181818181
37,1.8686868686868687
38,1.9191919191919191
39,1.9696969696969697
40,2.0202020202020203
41,2.0707070707070705
42,2.121212121212121
43,2.1717171717171717
44,2.2222222222222223
45,2.2727272727272725
46,2.323232323232323
47,2.3737373737373737
48,2.4242424242424243
49,2.474747474747475
50,2.525252525252525
51,2.5757575757575757
52,2.6262626262626263
53,2.676767676767677
54,2.727272727272727
55,2.7777777777777777
56,2.8282828282828283
57,2.878787878787879
58,2.929292929292929
59,2.9797979797979797
60,3.0303030303030303
61,3.080808080808081
62,3.131313131313131
63,3.1818181818181817
64,3.2323232323232323
65,3.282828282828283
66,3.3333333333333335
67,3.3838383838383836
68,3.4343434343434343
69,3.484848484848485
70,3.5353535353535355
71,3.5858585858585856
72,3.6363636363636362
73,3.686868686868687
74,3.7373737373737375
75,3.7878787878787876
76,3.8383838383838382
77,3.888888888888889
78,3.9393939393939394
79,3.9898989898989896
80,4.040404040404041
81,4.090909090909091
82,4.141414141414141
83,4.191919191919192
84,4.242424242424242
85,4.292929292929293
86,4.343434343434343
87,4.393939393939394
88,4.444444444444445
89,4.494949494949495
90,4.545454545454545
91,4.595959595959596
92,4.646464646464646
93,4.696969696969697
94,4.747474747474747
95,4.797979797979798
96,4.848484848484849
97,4.898989898989899
98,4.94949494949495
99,5.0
