time,value,unit
0,24.592063120216277,C
1,24.427441491215106,C
2,21.649907785953914,C
3,24.010704120027814,C
4,24.20519556486735,C
5,28.084881888188566,C
6,27.895954968131438,C
7,29.767574976333854,C
8,27.153071918078922,C
9,24.341464322997997,C
10,23.483619125264564,C
11,24.182850223541354,C
12,26.775228552224302,C
13,21.24947385648227,C
14,28.529668550781444,C
15,26.670607996760634,C
16,24.77383412709785,C
17,27.206869802204604,C
18,22.846162239576834,C
19,27.544818850555828,C
20,19.041066970880077,C
21,26.590532099315418,C
22,26.642158240455945,C
23,24.551848148102746,C
24,25.95660305847773,C
25,26.54925495187034,C
26,21.943112197503588,C
27,26.264186306882085,C
28,22.177882272606006,C
29,26.871309374696846,C
30,30.632807322933704,C
31,23.70663959179101,C
32,24.362159883890214,C
33,25.045539155663604,C
34,24.004863793868523,C
35,22.69676674304953,C
36,24.789981661782033,C
37,21.239551991028854,C
38,26.9770422464209,C
39,26.596613000512203,C
40,26.436515603176076,C
41,25.317128221884936,C
42,24.156491921406786,C
43,18.6478916328179,C
44,23.05188874150455,C
45,29.77410005706633,C
46,25.62665892314013,C
47,29.115860031700358,C
48,24.071342924867707,C
49,22.108791153502658,C
50,26.486023478869644,C
51,23.256709503209713,C
52,27.1828260276853,C
53,20.529233012381273,C
54,23.457978220783748,C
55,24.170954410277506,C
56,25.67468854329395,C
57,22.439519364966525,C
58,19.90629531096884,C
59,24.954096015802808,C
60,27.094151754532152,C
61,26.71149463726744,C
62,27.083735126250854,C
63,26.351954019746703,C
64,22.71792642727914,C
65,24.426570719641102,C
66,26.983564851663417,C
67,25.335999067083453,C
68,21.617181142398252,C
69,26.63004142153115,C
70,29.441576588028298,C
71,24.467697751635534,C
72,21.113803668918038,C
73,25.726659676495817,C
74,26.865792920751772,C
75,26.355075417963732,C
76,23.6506757472739,C
77,25.3304740138183,C
78,25.540701824454285,C
79,25.404473775211216,C
80,24.464103688828057,C
81,28.281194778503203,C
82,29.07261460781132,C
83,27.032394833772894,C
84,25.85407739886177,C
85,29.812852354634323,C
86,21.704512816677678,C
87,22.35478272692519,C
88,24.826159741563533,C
89,26.457261376997305,C
90,23.922768996379947,C
91,21.672944060080727,C
92,28.674053143735698,C
93,25.734509250651755,C
94,25.051274229991137,C
95,29.989179367167296,C
96,27.264228204108907,C
97,24.886903850086032,C
98,27.565506050131788,C
99,24.166436361525115,C
100,23.840897778248955,C
101,25.849561673984418,C
102,22.783596700391037,C
103,24.394405531230856,C
104,25.34733977657172,C
105,25.084788035821656,C
106,24.284968649380158,C
107,23.65528818451953,C
108,27.241532794505787,C
109,24.597555369681565,C
110,27.62442792735986,C
111,30.6183056888292,C
112,24.799945346249995,C
113,27.970840908653752,C
114,23.29675028490364,C
115,23.32367730476288,C
116,28.9415817290189,C
117,20.48593955831326,C
118,28.612803685083325,C
119,25.485217231923784,C
120,26.83618378567315,C
121,28.918261547057394,C
122,20.831128422867536,C
123,24.43583774444435,C
124,24.185166840235663,C
125,26.705187887466003,C
126,22.489869658698037,C
127,29.32229362753875,C
128,18.061559887706846,C
129,25.979877495360032,C
130,23.531829599510527,C
131,28.77049808889655,C
132,28.10680317230076,C
133,27.80635951302493,C
134,26.403478739063324,C
135,25.7917023287503,C
136,28.797210216157197,C
137,22.670146011524896,C
138,22.263878077816656,C
139,27.162904787758006,C
140,23.48968535868232,C
141,28.899753932209965,C
142,26.099754681922793,C
143,25.559771423102557,C
144,27.22628596422327,C
145,23.263741196056714,C
