time,value,unit
0,14.670493912058244,psi
1,14.738053105683719,psi
2,14.74997765712762,psi
3,14.68258300901149,psi
4,14.850327762469686,psi
5,14.732979113162871,psi
6,14.985084653321776,psi
7,14.663207664055417,psi
8,14.619512645091127,psi
9,14.878586547667124,psi
10,14.83088794797848,psi
11,14.725975805668746,psi
12,14.779891565648944,psi
13,14.835289700058748,psi
14,14.618801978255167,psi
15,14.802327956390762,psi
16,14.577394168134376,psi
17,14.801985054549103,psi
18,14.685895857349369,psi
19,14.626126167546253,psi
20,14.454444429072238,psi
21,14.44450504265278,psi
22,14.491028727399788,psi
23,14.670557095682735,psi
24,14.604844346491205,psi
25,14.97554151263234,psi
26,14.71264915648676,psi
27,14.80258062434476,psi
28,14.59011966808784,psi
29,14.720719702786235,psi
30,14.550721915652744,psi
31,14.67164517255367,psi
32,14.932852183635863,psi
33,14.599697500077571,psi
34,14.767875463882838,psi
35,14.713190850600384,psi
36,14.746357796867567,psi
37,14.436632213057756,psi
38,14.739317701121918,psi
39,14.72354886202293,psi
40,14.628392520310348,psi
41,14.79083356534745,psi
42,14.514644581041155,psi
43,14.947267446511233,psi
44,14.603620989090022,psi
45,14.681112619842065,psi
46,14.634596578616792,psi
47,14.870008160132093,psi
48,14.786295392177314,psi
49,14.680615445998574,psi
50,14.800973845431066,psi
51,14.650794555068288,psi
52,14.820876524596923,psi
53,14.863039072967199,psi
54,14.498532503883863,psi
55,14.806340816111382,psi
56,14.631967857065087,psi
57,14.61640938532247,psi
58,14.790389147868309,psi
59,14.706747218611788,psi
60,14.885446137921459,psi
61,14.655258875179136,psi
62,14.783955982414286,psi
63,14.529060450132837,psi
64,14.623256857462179,psi
65,14.84242526885962,psi
66,14.734158436748565,psi
67,14.476948745054065,psi
68,14.682312967835369,psi
69,14.689099555508957,psi
70,14.648310318834156,psi
71,14.658824497199491,psi
72,14.635423931751072,psi
73,14.732663297566091,psi
74,14.49525235236484,psi
75,14.747064490458138,psi
76,14.988389272934398,psi
77,14.580501397079377,psi
78,14.508496066864595,psi
79,14.708835067481266,psi
80,14.657034924332846,psi
81,14.780505994087452,psi
82,14.553079593195696,psi
83,14.869754606871949,psi
84,14.510810044218738,psi
85,14.642770337478987,psi
86,14.565708151495379,psi
87,14.74173117503274,psi
88,14.967224583705889,psi
89,14.718308230076179,psi
90,14.466409264233942,psi
91,14.814818142203,psi
92,14.657937442319012,psi
93,14.638030897892834,psi
94,14.592874143227505,psi
95,14.97689983512928,psi
96,14.497188280419751,psi
97,14.572766578707949,psi
98,14.785770058717064,psi
99,14.82436154862751,psi
100,14.667316315586136,psi
101,14.451601029030046,psi
102,14.687122535880942,psi
103,14.689545854007042,psi
104,15.033891868919822,psi
105,14.753712665000439,psi
106,14.781038776008565,psi
107,14.69012828927808,psi
108,14.453800856306263,psi
109,14.820553355237823,psi
110,14.589604885513088,psi
111,14.82713766529059,psi
112,15.001113253355733,psi
113,14.495877309317104,psi
114,14.753199646655016,psi
115,14.801372655397573,psi
116,14.822293306881024,psi
117,14.846180157044584,psi
118,14.683514073958648,psi
119,14.645523520336203,psi
120,14.94476981675296,psi
121,14.716372773481568,psi
122,14.591517507536304,psi
123,14.574637213596896,psi
124,14.679935090815968,psi
125,14.76083105741466,psi
126,14.523604832132234,psi
127,14.604237048829072,psi
128,14.665004582370058,psi
129,14.65094450654572,psi
130,14.597549940164615,psi
131,14.737699313562647,psi
132,14.53917754963724,psi
133,14.755307149347926,psi
134,14.511467311812824,psi
135,14.664315253537149,psi
136,14.643828463702087,psi
137,14.84937962286846,psi
138,14.577930535536941,psi
139,14.653184723016604,psi
140,14.62381029584713,psi
141,14.777762666471189,psi
142,14.625653724956353,psi
143,14.736485762651416,psi
144,14.651465591564794,psi
145,14.663136680626097,psi
146,14.615225858135787,psi
147,14.894526305540897,psi
148,14.763555990087614,psi
149,14.819945271940473,psi
150,14.826255984946002,psi
151,14.498698571953108,psi
152,14.821379008867908,psi
153,14.682128261339932,psi
154,14.520093448850398,psi
155,14.690826790036882,psi
156,14.676383478356444,psi
157,14.528659946359072,psi
158,14.618029328184088,psi
159,14.721687651042657,psi
160,14.511330215296763,psi
161,14.840211908978755,psi
162,14.432762573322982,psi
163,14.678964378512958,psi
164,14.383743785892475,psi
165,14.770376356746308,psi
166,15.034686175031368,psi
167,14.82964636818007,psi
168,14.608245136737851,psi
169,14.752334359137688,psi
170,14.732336232825075,psi
171,14.877040886760359,psi
172,14.474289351233162,psi
173,14.826066348730615,psi
174,14.751621604996624,psi
175,14.603028265163461,psi
176,14.634660744049723,psi
177,14.61822455747937,psi
178,14.620814743291957,psi
179,14.464183669320482,psi
180,14.666284065944385,psi
181,14.70507643699639,psi
182,14.620056712369053,psi
183,14.72100911228679,psi
184,14.641761059059478,psi
185,14.528938148432951,psi
186,14.670475012613492,psi
187,14.534479541248388,psi
188,15.248848091198068,psi
189,14.819515034518929,psi
190,14.535976106615925,psi
191,14.859940940058921,psi
192,14.671385297889149,psi
193,14.55057413250345,psi
194,14.647321029985287,psi
195,14.486313182615085,psi
196,14.457191208861236,psi
197,14.65408624327705,psi
198,14.592563366743441,psi
199,14.812735270011707,psi
200,14.859830367156427,psi
201,14.638330780873806,psi
202,14.592380528352649,psi
203,14.86895163739731,psi
204,14.689280705004563,psi
205,14.768688688348572,psi
206,14.858991949628006,psi
207,14.53707850478047,psi
208,14.561163104142965,psi
209,14.668810514638347,psi
210,14.556394420443542,psi
211,14.722705707307483,psi
212,14.727404973743793,psi
213,14.670785805718698,psi
214,14.763340181459087,psi
215,14.6187773544166,psi
216,14.507174851168394,psi
217,14.366736649141368,psi
218,14.863415399282415,psi
219,14.936317058265118,psi
220,14.598830613940459,psi
221,14.725787445625462,psi
222,14.606145373334279,psi
223,14.886090400892112,psi
224,14.629475318617066,psi
225,14.739335810984201,psi
226,14.560470738163922,psi
227,14.671930616958516,psi
228,14.692616217685297,psi
229,14.606514125176252,psi
230,14.866008086560967,psi
231,14.53177121960943,psi
232,14.535631148471687,psi
233,14.734841241617266,psi
234,14.551955670692504,psi
235,14.696904018015658,psi
236,14.57046018275841,psi
237,14.453330019326373,psi
238,14.57538677262218,psi
239,14.74558358028468,psi
240,14.691430656703552,psi
241,14.82534461103426,psi
242,15.006063447558082,psi
243,14.743564090953953,psi
244,14.652282824746875,psi
245,14.562985360238342,psi
246,14.744023241424673,psi
247,14.718403656289874,psi
248,14.885603825187605,psi
249,14.31754462025122,psi
250,14.615223256247932,psi
251,14.38876034075586,psi
252,14.757072320674677,psi
253,14.62013386302965,psi
254,14.5280141871927,psi
255,14.553895730202822,psi
256,14.573740377667928,psi
257,14.7187587870307,psi
258,14.827401250513056,psi
259,14.73434823617606,psi
260,14.676759442504599,psi
261,14.77850377279435,psi
262,14.622420630610018,psi
263,14.65300414408202,psi
264,14.526723949807055,psi
265,14.709200435897243,psi
266,14.757039342297013,psi
267,15.138849729965996,psi
268,14.512000805635408,psi
269,14.870672925343504,psi
270,14.998517002012136,psi
271,14.876034515803175,psi
272,14.76557337913766,psi
273,14.76223459968114,psi
274,14.747098930614566,psi
275,14.544629763194164,psi
276,14.681127653189789,psi
277,14.71960837415746,psi
278,14.661409428221262,psi
279,14.655211798120535,psi
280,14.802439150765725,psi
281,14.743294970106524,psi
282,14.674138843306501,psi
283,14.739462545653856,psi
284,14.58076965973326,psi
285,14.657094629849782,psi
