time_hrs,u_value
0,500.0
1,499.5991983967936
2,499.19839679358716
3,498.7975951903808
4,498.39679358717433
5,497.99599198396794
6,497.59519038076155
7,497.1943887775551
8,496.7935871743487
9,496.39278557114227
10,495.9919839679359
11,495.59118236472943
12,495.19038076152304
13,494.78957915831666
14,494.3887775551102
15,493.9879759519038
16,493.5871743486974
17,493.186372745491
18,492.7855711422846
19,492.38476953907815
20,491.98396793587176
21,491.5831663326653
22,491.1823647294589
23,490.7815631262525
24,490.3807615230461
25,489.9799599198397
26,489.57915831663325
27,489.17835671342687
28,488.7775551102204
29,488.37675350701403
30,487.97595190380764
31,487.5751503006012
32,487.1743486973948
33,486.77354709418836
34,486.37274549098197
35,485.9719438877755
36,485.57114228456913
37,485.17034068136275
38,484.7695390781563
39,484.3687374749499
40,483.96793587174346
41,483.5671342685371
42,483.1663326653307
43,482.76553106212424
44,482.36472945891785
45,481.9639278557114
46,481.563126252505
47,481.1623246492986
48,480.7615230460922
49,480.3607214428858
50,479.95991983967934
51,479.55911823647295
52,479.1583166332665
53,478.7575150300601
54,478.35671342685373
55,477.9559118236473
56,477.5551102204409
57,477.15430861723445
58,476.75350701402806
59,476.3527054108216
60,475.9519038076152
61,475.55110220440883
62,475.1503006012024
63,474.749498997996
64,474.34869739478955
65,473.94789579158316
66,473.5470941883768
67,473.14629258517033
68,472.74549098196394
69,472.3446893787575
70,471.9438877755511
71,471.5430861723447
72,471.14228456913827
73,470.7414829659319
74,470.34068136272543
75,469.93987975951904
76,469.5390781563126
77,469.1382765531062
78,468.7374749498998
79,468.3366733466934
80,467.935871743487
81,467.53507014028054
82,467.13426853707415
83,466.7334669338677
84,466.3326653306613
85,465.9318637274549
86,465.5310621242485
87,465.1302605210421
88,464.7294589178357
89,464.32865731462925
90,463.92785571142286
91,463.5270541082164
92,463.12625250501003
93,462.7254509018036
94,462.3246492985972
95,461.9238476953908
96,461.52304609218436
97,461.12224448897797
98,460.7214428857715
99,460.32064128256513
100,459.9198396793587
101,459.5190380761523
102,459.1182364729459
103,458.71743486973946
104,458.3166332665331
105,457.9158316633266
106,457.51503006012024
107,457.11422845691385
108,456.7134268537074
109,456.312625250501
110,455.91182364729457
111,455.5110220440882
112,455.1102204408818
113,454.70941883767534
114,454.30861723446895
115,453.9078156312625
116,453.5070140280561
117,453.1062124248497
118,452.7054108216433
119,452.3046092184369
120,451.90380761523045
121,451.50300601202406
122,451.1022044088176
123,450.7014028056112
124,450.3006012024048
125,449.8997995991984
126,449.498997995992
127,449.09819639278555
128,448.69739478957916
129,448.2965931863728
130,447.89579158316633
131,447.49498997995994
132,447.0941883767535
133,446.6933867735471
134,446.29258517034066
135,445.89178356713427
136,445.4909819639279
137,445.09018036072143
138,444.68937875751504
139,444.2885771543086
140,443.8877755511022
141,443.48697394789576
142,443.0861723446894
143,442.685370741483
144,442.28456913827654
145,441.88376753507015
146,441.4829659318637
147,441.0821643286573
148,440.6813627254509
149,440.2805611222445
150,439.8797595190381
151,439.47895791583164
152,439.07815631262525
153,438.67735470941886
154,438.2765531062124
155,437.87575150300603
156,437.4749498997996
157,437.0741482965932
158,436.67334669338675
159,436.27254509018036
160,435.87174348697397
161,435.4709418837675
162,435.07014028056113
163,434.6693386773547
164,434.2685370741483
165,433.86773547094185
166,433.46693386773546
167,433.0661322645291
168,432.6653306613226
169,432.26452905811624
170,431.86372745490985
171,431.4629258517034
172,431.06212424849696
173,430.66132264529057
174,430.2605210420842
175,429.85971943887773
176,429.45891783567134
177,429.05811623246495
178,428.6573146292585
179,428.2565130260521
180,427.8557114228457
181,427.4549098196393
182,427.05410821643284
183,426.65330661322645
184,426.25250501002006
185,425.8517034068136
186,425.4509018036072
187,425.05010020040083
188,424.6492985971944
189,424.24849699398794
190,423.84769539078155
191,423.44689378757516
192,423.0460921843687
193,422.6452905811623
194,422.24448897795594
195,421.8436873747495
196,421.4428857715431
197,421.04208416833666
198,420.64128256513027
199,420.2404809619238
200,419.83967935871743
201,419.43887775551104
202,419.0380761523046
203,418.6372745490982
204,418.23647294589176
205,417.8356713426854
206,417.4348697394789
207,417.03406813627254
208,416.63326653306615
209,416.2324649298597
210,415.8316633266533
211,415.4308617234469
212,415.0300601202405
213,414.62925851703403
214,414.22845691382764
215,413.82765531062125
216,413.4268537074148
217,413.0260521042084
218,412.62525050100203
219,412.2244488977956
220,411.8236472945892
221,411.42284569138275
222,411.02204408817636
223,410.6212424849699
224,410.2204408817635
225,409.81963927855713
226,409.4188376753507
227,409.0180360721443
228,408.61723446893785
229,408.21643286573146
230,407.815631262525
231,407.4148296593186
232,407.01402805611224
233,406.6132264529058
234,406.2124248496994
235,405.811623246493
236,405.41082164328657
237,405.0100200400802
238,404.60921843687373
239,404.20841683366734
240,403.8076152304609
241,403.4068136272545
242,403.0060120240481
243,402.6052104208417
244,402.2044088176353
245,401.80360721442884
246,401.40280561122245
247,401.002004008016
248,400.6012024048096
249,400.2004008016032
250,399.7995991983968
251,399.3987975951904
252,398.997995991984
253,398.59719438877755
254,398.1963927855711
255,397.7955911823647
256,397.3947895791583
257,396.9939879759519
258,396.5931863727455
259,396.1923847695391
260,395.79158316633266
261,395.39078156312627
262,394.9899799599198
263,394.58917835671343
264,394.188376753507
265,393.7875751503006
266,393.3867735470942
267,392.98597194388776
268,392.5851703406814
269,392.1843687374749
270,391.78356713426854
271,391.3827655310621
272,390.9819639278557
273,390.5811623246493
274,390.18036072144287
275,389.7795591182365
276,389.3787575150301
277,388.97795591182364
278,388.5771543086172
279,388.1763527054108
280,387.7755511022044
281,387.37474949899797
282,386.9739478957916
283,386.5731462925852
284,386.17234468937875
285,385.77154308617236
286,385.3707414829659
287,384.9699398797595
288,384.5691382765531
289,384.1683366733467
290,383.7675350701403
291,383.36673346693385
292,382.96593186372746
293,382.5651302605211
294,382.1643286573146
295,381.7635270541082
296,381.3627254509018
297,380.9619238476954
298,380.56112224448896
299,380.16032064128257
300,379.7595190380762
301,379.35871743486973
302,378.95791583166334
303,378.5571142284569
304,378.1563126252505
305,377.75551102204406
306,377.3547094188377
307,376.9539078156313
308,376.55310621242484
309,376.15230460921845
310,375.751503006012
311,375.3507014028056
312,374.94989979959917
313,374.5490981963928
314,374.1482965931864
315,373.74749498997994
316,373.34669338677355
317,372.94589178356716
318,372.5450901803607
319,372.14428857715427
320,371.7434869739479
321,371.3426853707415
322,370.94188376753505
323,370.54108216432866
324,370.14028056112227
325,369.7394789579158
326,369.3386773547094
327,368.93787575150304
328,368.5370741482966
329,368.13627254509015
330,367.73547094188376
331,367.3346693386774
332,366.9338677354709
333,366.53306613226454
334,366.13226452905815
335,365.7314629258517
336,365.33066132264526
337,364.92985971943887
338,364.5290581162325
339,364.12825651302603
340,363.72745490981964
341,363.32665330661325
342,362.9258517034068
343,362.52505010020036
344,362.12424849699397
345,361.7234468937876
346,361.32264529058114
347,360.92184368737475
348,360.52104208416836
349,360.1202404809619
350,359.71943887775547
351,359.31863727454913
352,358.9178356713427
353,358.51703406813624
354,358.11623246492985
355,357.71543086172346
356,357.314629258517
357,356.9138276553106
358,356.51302605210424
359,356.1122244488978
360,355.71142284569135
361,355.31062124248496
362,354.90981963927857
363,354.5090180360721
364,354.10821643286573
365,353.70741482965934
366,353.3066132264529
367,352.90581162324645
368,352.5050100200401
369,352.10420841683367
370,351.7034068136272
371,351.30260521042084
372,350.90180360721445
373,350.501002004008
374,350.1002004008016
375,349.6993987975952
376,349.2985971943888
377,348.89779559118233
