cycles,damage_fraction
0.0,0.0
1000.0,0.001001001001001001
2000.0,0.002002002002002002
3000.0,0.003003003003003003
4000.0,0.004004004004004004
5000.0,0.005005005005005005
6000.0,0.006006006006006006
7000.0,0.007007007007007007
8000.0,0.008008008008008008
9000.0,0.009009009009009009
10000.0,0.01001001001001001
11000.0,0.011011011011011011
12000.0,0.012012012012012012
13000.0,0.013013013013013013
14000.0,0.014014014014014014
15000.0,0.015015015015015015
16000.0,0.016016016016016016
17000.0,0.017017017017017015
18000.0,0.018018018018018018
19000.0,0.01901901901901902
20000.0,0.02002002002002002
21000.0,0.02102102102102102
22000.0,0.022022022022022022
23000.0,0.023023023023023025
24000.0,0.024024024024024024
25000.0,0.025025025025025023
26000.0,0.026026026026026026
27000.0,0.02702702702702703
28000.0,0.028028028028028028
29000.0,0.029029029029029027
30000.0,0.03003003003003003
31000.0,0.031031031031031032
32000.0,0.03203203203203203
33000.0,0.03303303303303303
34000.0,0.03403403403403403
35000.0,0.035035035035035036
36000.0,0.036036036036036036
37000.0,0.037037037037037035
38000.0,0.03803803803803804
39000.0,0.03903903903903904
40000.0,0.04004004004004004
41000.0,0.04104104104104104
42000.0,0.04204204204204204
43000.0,0.043043043043043044
44000.0,0.044044044044044044
45000.0,0.04504504504504504
46000.0,0.04604604604604605
47000.0,0.04704704704704705
48000.0,0.04804804804804805
49000.0,0.04904904904904905
50000.0,0.050050050050050046
51000.0,0.05105105105105105
52000.0,0.05205205205205205
53000.0,0.05305305305305305
54000.0,0.05405405405405406
55000.0,0.055055055055055056
56000.0,0.056056056056056056
57000.0,0.057057057057057055
58000.0,0.058058058058058054
59000.0,0.05905905905905906
60000.0,0.06006006006006006
61000.0,0.06106106106106106
62000.0,0.062062062062062065
63000.0,0.06306306306306306
64000.0,0.06406406406406406
65000.0,0.06506506506506507
66000.0,0.06606606606606606
67000.0,0.06706706706706707
68000.0,0.06806806806806806
69000.0,0.06906906906906907
70000.0,0.07007007007007007
71000.0,0.07107107107107107
72000.0,0.07207207207207207
73000.0,0.07307307307307308
74000.0,0.07407407407407407
75000.0,0.07507507507507508
76000.0,0.07607607607607608
77000.0,0.07707707707707707
78000.0,0.07807807807807808
79000.0,0.07907907907907907
80000.0,0.08008008008008008
81000.0,0.08108108108108109
82000.0,0.08208208208208208
83000.0,0.08308308308308308
84000.0,0.08408408408408408
85000.0,0.08508508508508508
86000.0,0.08608608608608609
87000.0,0.08708708708708708
88000.0,0.08808808808808809
89000.0,0.0890890890890891
90000.0,0.09009009009009009
91000.0,0.09109109109109109
92000.0,0.0920920920920921
93000.0,0.09309309309309309
94000.0,0.0940940940940941
95000.0,0.09509509509509509
